id,period,category,confidence,rationale,alternatives,comparator,method,contribution,contribution_basis,reported_date,first_collected_date,collection_kind,strict_category,strict_proof_status_unchanged
"297","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: The paper gives finite obstruction subgraphs proving dim W(H₄)≥5 and dim W(E₆)≥7, so the order dimension of a simplicial hyperplane arrangement can exceed its rank, answering Reading and … This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-17","","unknown","incomplete","true"
"298","2026-08","Difficult","medium","The lower bound gains the missing dimension factor over the cited 2021 result and nearly matches the upper bound. A specifically credited new technical idea closing that quantitative gap is positive non-routine evidence.","Expected","Geometric functional-analysis/algorithms specialists improving the previous subspace-embedding lower bound, with no measured human runtime.","individual-AI-assessment","AI-led (reported)","source attribution; not reconstructed","2026-08-17","","unknown","incomplete","true"
"299","2026-08","Difficult","medium","The coded source describes prior resistance at the exact target: The paper claims the four-variable quartic case of the Hessian conjecture, reducing three exhaustive cone-top types to forms whose gradient inverse is polynomial; the general four-dimensi… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","Difficult","true"
"300","2026-08","Unassessed","low","The available claim summary does not support a useful human-effort judgment: For Cayley graphs of groups of polynomial growth, nonnegative Ollivier–Ricci curvature forces the group to be virtually abelian; consequently, a connected vertex-transitive graph of polyn… It is retained outside the three assessed tiers pending a focused pass.","Expected;Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"301","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Assuming the log resolution conjecture for all log pairs birational to $X$, we prove the cone theorem for projective log canonical, $\mathbb{Q}$-factorial fourfold pairs $(X,Δ)$ such that… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"302","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: For any integral domain k, the ring R=k[X₁,X₂,…]/(X_i(1−X_j):i<j) has a purely-prime ideal (the zero ideal) that is not purely-maximal, disproving Tarizadeh's Conjecture 5.8. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-17","","unknown","incomplete","true"
"303","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that under stated small-data conditions, the paper proves existence and uniqueness for continuous and conforming-FE discrete second-harmonic-generation scattering soluti… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"305","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that for torus-rank-at-most-one degenerations of principally polarized abelian varieties, the paper computes the unit-section class, constructs a relative Chow-motive we… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"306","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: On the standard quaternionic Hopf surface, Theorem 1.6 constructs a sequence of nonhomogeneous HKT–Einstein metrics e^{u_k}g_Hopf with ||u_k||_{C⁰}→∞, giving the first such nonhomogeneous… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"307","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Codex/GPT-5.6 produced an explicit rational three-block ADMM instance with bounded nonconvergent orbit of exact period 66. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"308","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: A separate Kimi K3 route produced an exact locally attracting period-23 certificate convertible to an all-identity instance. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"309","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: For every ε>0, some C₀ ensures that every digraph H with h arcs and no isolated vertices and every n-vertex digraph D with n≥C₀h and δ⁰(D)≥(1/2+ε)n contain a spanning H-subdivision whose … This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"310","2026-08","Difficult","low","The report explicitly signals a non-routine advance (disproves Trotter's universal existence conjecture): The paper proves the Kelly–Trotter product inequality when both posets have dimension three, thereby disproves Trotter's universal existence conjecture, and proves dim(C_k×P)=4 for every … Human effort and target history remain uncertain; this is not an automatic Superhuman assignment.","Expected;Superhuman","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"311","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that the paper establishes convergence of the positive-temperature reduced-Hartree–Fock grand potential to a Thomas–Fermi functional, a no-gap dual representation with m… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"312","2026-08","Difficult","medium","The coded source describes prior resistance at the exact target: The paper reports that for complete noncompact n-manifolds with Ric≥0, the paper claims (i) a uniform unit-ball volume deficit forces vol B(o,R)≤C(n,ε)R^(n−1), and (ii) Scal≥σ>0 forces vo… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-17","","unknown","Difficult","true"
"313","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: If F∈R[x,y,z] is irreducible of degree at least 2 and a finite X⊂Z(F) has uniformly bounded concentration on affine lines, then E(X)≪_{deg F,ε}|X|^{2+ε}; more generally the theorem quanti… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"315","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: For every particle number N and d≤3, one fixed target- and system-independent complex Slater determinant, multiplied by smooth compactly supported symmetric bosonic factors, is dense in t… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"316","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: For every particle number N, one fixed determinant is dense in antisymmetric H²(R^{dN}) for d≤2, while two fixed universal determinants suffice in d=3; the d=3 proof uses logarithmic dele… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"317","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Tournament isomorphism for VC dimension d is decidable in time n^{O(d log d)}, so automorphism groups have polynomial-time algorithms at bounded d; tournament isomorphism is also polynomi… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"318","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Proposition 5 gives, for fixed K as M→∞, ω_{l,1}=ψ(M)+O(ρ_M), ω_{l,±}=ψ(2M)+O(ρ_M), and ω_{l,K}=√Kψ(M)−(KH_{K−1}−K+1)/√(2K log M)+O(ρ_M), where ρ_M=(log log M)²(log M)^(−3/2). My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-17","","unknown","incomplete","true"
"320","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: If a complete connected n-manifold has Ricci curvature at least -delta^2 and (m+1)-intermediate curvature at least 1, then delta R below a dimension-dependent threshold implies Vol B_R(p)… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"321","2026-08","Difficult","medium","The coded source describes prior resistance at the exact target: The paper reports that for Γ-labeled simple loopless d-regular digraphs, the paper proves a zero-sum cycle for d≥e³(k−1), Ω(d/k) vertex-disjoint cycles, and Ω(d²/k) edge-disjoint cycles w… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","Difficult","true"
"322","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: For every nonnegative t, the join of the Paley graph P(17) with K_t obeys chi(H) <= binomial(omega(H)+1,2) for every induced subgraph H but is not perfectly divisible, giving an infinite … My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-17","","unknown","incomplete","true"
"323","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: For every dimension n, the alpha-invariant spectrum of n-dimensional K-polystable toric Q-Fano varieties is exactly Q∩[1/(n+1),1/2]. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"324","2026-08","Expected","low","Most of the bounded result consists of small-order exact matching censuses and a dyadic construction backed by exhaustive checks, a plausible specialist computation-and-proof project. The equality classification and asymptotic construction could nevertheless contain difficult new ideas.","Difficult","An extremal-combinatorics specialist studying size-two matching instances with exhaustive search and elementary recursive constructions.","individual-AI-assessment","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"325","2026-08","Difficult","medium","The coded source describes prior resistance at the exact target: The paper claims the König constant equals 1 by constructing Boolean pairs in increasing dimensions, despite strict inequality in every fixed finite dimension, and thereby gives a negativ… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","Difficult","true"
"326","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Block Orthogonality alone forces the Type Partition condition and a common Maltsev polymorphism; together with the total exact algorithm this decides the stated complex-weighted counting-… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"327","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that we study the positivity of the product of two positive primitive n-forms whose restrictions to every Lagrangian subspace are nonzero. We prove that in dimensions at… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"328","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports rigidity/classification results for modulus isometries and positive norm isometries between vector or normed lattices, plus nonlinear order-isometric rigidity. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"329","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that the paper introduces a random multirate blob method, proves O(kΔt) convergence to the underlying ODE and sharpness by example, and reports better empirical rates fo… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"330","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper proves coefficient duality is equivalent to a Möbius covariance law, gives structural/eigenspace/weighted forms, extends Catalan/Chebyshev identities and Ramanujan-type summatio… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"332","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that exactly 2d generic intensity measurements are necessary and sufficient for almost-everywhere phase retrieval in complex dimension d. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"333","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports a near-Parseval orbit-frame theorem for irreducible unitary representations, with quantitative bounds derived from mixing or expansion and applications to the stated fin… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"334","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that for every integer $k\ge2$, Chen and Raspaud conjectured that each graph $G$ with odd girth $\og(G)\ge2k+1$ and maximum average degree $\mad(G)<2+1/k$ has a $(2k+1:k… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"335","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Mizzi conjectured that every nontrivially unstable graph contains cycles C_k and C_{2k} for some odd k. We give a connected, nonbipartite, vertex-determining counterexample on ten vertice… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"336","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that we propose a categorification of the Lusztig integral form of the quantum Cartan subalgebra for $sl(2)$ via a colimit of categories of equivariant coherent sheaves … My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"337","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: The paper constructs a Harris recurrent continuous-time Markov process with no wide-sense regenerative structure; indeed every almost-surely finite random time independent of the observed… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"338","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: For any unit-volume flat metric g₀ on T³, Theorem 1.4 constructs a smooth family g(s) starting at g₀ such that g(s) is nonflat for s>0, the stable norm on H₂(T³,R) stays fixed, and vol_{g… This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-18","","unknown","incomplete","true"
"339","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that we present a proof of a conjecture we made about primitive polynomials, for $q$ sufficiently large. The argument follows a standard route, however a deeper result t… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"340","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper gives the first explicit unirational smooth degree-one del Pezzo surfaces of arithmetic Picard rank one over Q, F₅, and C(t), with degree-nine dominant rational maps; it also de… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"341","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: For five balanced variables of common size N, the stated additive congruence has the expected asymptotic uniformly in λ once N>p^(14/29+ε); for every fixed r≥5 the paper gives sub-square-… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"342","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports an explicit entanglement-breaking qutrit channel violating Lesniewski and Ruskai's Conjecture 4.9, while a qubit theorem makes dimension three minimal. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"343","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: There exists an F-finite four-dimensional local domain (R,m) of characteristic 2 that is not F-injective but has a nonzerodivisor f∈m for which R/fR is F-injective, so F-injectivity does … This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","AI-led (reported)","source attribution; not reconstructed","2026-08-18","","unknown","incomplete","true"
"344","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: For networked aggregation with D transmitted bits, the worst-case mean-squared error is Omega(1/sqrt(D)), matching the upper bound; the lower-bound method extends to the stated convex-los… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"345","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports that we construct complete, one-ended Riemannian manifolds in dimensions four and five having strictly positive Ricci curvature, with fundamental group isomorphic to the… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"346","2026-08","Difficult","medium","The coded source describes settlement of a pre-existing target: Explicit binary branching families prove c_sub≥13/6 and c_cub≥17/8 and give unbounded additive violations of γ(G)≤2ρ(G)+1, including connected cubic graphs. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"347","2026-08","Expected","medium","The credited AI contribution is a direct p-adic GL2 kernel computation in Appendix A, supplying specific nonarchimedean assertions within an existing five-paper framework. Such a bounded technical calculation is plausibly within normal specialist reach. It must not inherit the challenge of the entire cancellation theorem.","Difficult","An automorphic-forms specialist carrying out the specific Appendix A kernel calculation with the paper's definitions and framework supplied; no measured human budget is reported.","individual-AI-assessment","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"348","2026-08","Difficult","medium","The coded source describes prior resistance at the exact target: The paper reports lim_{m->infinity} min_{|E(G)|=m}(alpha_1(G)+tau_1(G))/m^(2/3)=3/2, resolving the Erdos-Gallai-Tuza sharp-constant problem. This supports a non-routine expert-research assessment, without a demonstrated human speed comparison.","Expected","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","Difficult","true"
"349","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports exact finite-length reflection-resonance statistics in the one-dimensional Anderson-localized regime, including the Gamma^{-1} to Gamma^{-2} density crossover, Wigner-ti… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"350","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: On every smooth n-dimensional boundaryless Riemannian manifold, any vector field is a linear combination of at most max{6,6n−3} depth-one Lie brackets of gradient fields; on compact conne… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"351","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: A graph $G$ is said to be $k$-collapsible if $G$ has minimum degree $k$ and every non-null proper induced subgraph of $G$ has minimum degree less than $k.$ In 2018, Bickle conjectured tha… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"352","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Generative AI proposed the finite semidefinite-program formulation used in §4 and aided the explicit nonnegative-polynomial certificate proving T_R(Ω_{5/2})≥(559+80√42)/506>2; the paper e… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"353","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: For the curling-number transform, the longest overlap-free ternary word has length 84, whereas an infinite overlap-free word exists over four letters; hence four is the minimum alphabet s… My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
"354","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports the first projective inconsistency for the nested binary term grammar at level 4 to 3 and gives the exact unequal fiber ratio that causes it. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"355","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: The paper reports an exact formula for the extremal function in Erdos problem 1005, first for all sufficiently large n and then for every n >= 4 after finite verification. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Not established","insufficient allocation evidence","2026-08-18","","unknown","incomplete","true"
"356","2026-08","Expected","low","The bounded advance is coded as an improvement or new construction rather than complete settlement: Theorem 3.1 proves magnitude monotonicity for every three-point negative-type semimetric; do not attribute the four-or-more-point counterexamples to AI. My provisional baseline is normal specialist research; missing resistance history keeps confidence low, rather than supplying a zero score.","Difficult","A relevant human specialist or small team using methods available immediately before the report, over an ordinary research project (weeks to months), not the model's wall-clock runtime.","transparent-batch-triage","Human-led / AI assisting","coded allocation","2026-08-18","","unknown","incomplete","true"
