id,period,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
25,2026-05,1,2,1,1,5,Superhuman,1970,2026,5.6,0,erdos problem 12(i). an infinite set satisfying the problem's divisibility restriction and its prescribed density condition infinitely often exists. proved +. lean proof; experts checked statement fidelity. \\,Erdos problem 12(i) has an infinite construction meeting the requested additive and multiplicative representation constraints.,Erdos and Sarkozy posed the exact first question in 1970.,The infinite construction settles part (i) in full.,The claim is asymptotic and is realised by an infinite set rather than one finite instance.,"Multiple independent published investigations, including work by Schoen, Baier, and Elsholtz-Planitzer, precede the resolution.","Framed in 1970 and solved in 2026: 56 years = 5.6 decades, satisfying the historical override.",high
26,2026-05,1,2,1,1,5,Superhuman,1970,2026,5.6,0,"erdos problem 12(ii). the stronger companion assertion, imposing the density condition for every parameter and all sufficiently large scales, also holds. proved +. lean proof; experts checked statement fidelity. \\","For every epsilon > 0 and all sufficiently large N, a construction for Erdos problem 12(ii) reaches N^(1-epsilon), refuting the proposed sparse upper behaviour.",Erdos and Sarkozy posed the exact second question in 1970.,"The all-epsilon construction gives a complete negative resolution of part (ii), not merely a better exponent at one epsilon.","The statement is asymptotic, covering every epsilon > 0 and all sufficiently large N.","The long-running shared problem line contains multiple independent published investigations, and controlled benchmark attempts also showed nontrivial resistance.","Framed in 1970 and solved in 2026: 56 years = 5.6 decades, satisfying the historical override.",medium
27,2026-05,1,2,1,1,5,Superhuman,1996,2026,3.0,0,"erdos problem 125. if and are the nonnegative integers using only digits in bases three and four, then has lower density zero. proved +. the system first helped expose a density misformalization; the corrected statement was then proved. \\","The set in Erdos problem 125 has lower density zero, answering the positive-lower-density question negatively.","Burr, Erdos, Graham, and Li posed the exact density question in 1996.",The zero-lower-density theorem fully resolves the yes-or-no target.,"The conclusion is an asymptotic density theorem, not a fixed finite computation.",Melfi in 2001 and Hasler-Melfi in 2024 independently established quantitative partial bounds before the final result.,"Framed in 1996 and solved in 2026: 30 years = 3.0 decades, satisfying the historical override.",high
28,2026-05,1,2,1,0,4,Superhuman,1981,2026,4.5,0,"erdos problem 138, variant. a formalized variant giving a bound for van der waerden numbers is proved by greedy coloring extension and a monochromatic-intersection lemma. proved +. formal variant, clearly marked as such in the source. \\",Erdos Problem 138 differences variant: W(k+1)-W(k) tends to infinity.,Erdos explicitly asked the differences question in 1981; it is an exact pre-existing target rather than a newly proposed variant.,The proved bound W(k+1) >= W(k)+k completely answers the differences question.,The conclusion is uniform for the unbounded parameter k and gives an asymptotic statement.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The exact 1981 question was settled in 2026, an elapsed 45 years or 4.5 decades.",high
29,2026-05,1,2,1,1,5,Superhuman,1994,2026,3.2,0,erdos problem 152. every sufficiently large sidon set has many isolated points in its sumset . proved +. lean proof; experts checked the formalization. \\,Erdos Problem 152: sufficiently large finite Sidon sets have arbitrarily many isolated elements in A+A.,The exact question appears in the 1994 Erdős-Sarkozy-Sos work on sumsets of Sidon sets.,The proof establishes the stronger quadratic lower bound I(A+A) >= (n^2-100n-16)/16 and therefore completely settles the target.,The theorem applies to every finite Sidon set and uniformly as its size tends to infinity.,"In the disclosed controlled evaluation, Codex failed problem 152 in two 12-hour attempts; smaller Gemini agents, standalone AlphaProof, and Claude Code also failed the tested Erdős instances under stated budgets.","The 1994 target was settled in 2026, an elapsed 32 years or 3.2 decades.",high
30,2026-05,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"erdos problem 741(i). a positive-upper-density set admits the decomposition required by the problem, with both pieces retaining positive upper density. proved +. corrected upper-density reading; lean proof. \\",Erdos Problem 741(i): every A whose sumset has positive upper density admits a partition whose two component sumsets both have positive upper density.,The question was published in 1994; the audited target uses the upper-density reading that the source paper and problem curator identify as the intended interpretation.,The alternating-block proof gives the required decomposition for every qualifying A and completely answers the corrected target.,The result is uniform over the general class of all subsets A of the natural numbers whose sumset has positive upper density.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"Using the documented 1994 formulation and its clarified upper-density reading, the elapsed time to the 2026 solution is 32 years or 3.2 decades.",High
31,2026-05,1,2,1,0,4,Superhuman,1994,2026,3.2,0,erdos problem 741(ii). there exists an additive basis of order two satisfying the problem's simultaneous bounded-gap requirements. proved +. lean proof. \\,Erdos Problem 741(ii): an additive basis of order two exists for which every bipartition leaves unbounded gaps in at least one component sumset.,The exact companion question was documented in 1994 before the AI work.,The explicit forbidden-zone construction supplies the requested basis and settles the existence question.,"Although one basis is constructed, the guarantee is uniform over every bipartition of that infinite basis and produces gaps of unbounded length.",The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The 1994 question was settled in 2026, an elapsed 32 years or 3.2 decades.",High
32,2026-05,1,2,1,0,4,Superhuman,1992,2024,3.2,0,"erdos problem 846. there is an infinite planar set not expressible as a finite union of general-position sets, although every finite subset contains many non-collinear points. proved +. lean proof and expert statement review. \\",Erdos Problem 846: an infinite planar set can satisfy the finite general-position condition without being a finite union of general-position sets.,The exact discrete-geometry question was published in 1992 and catalogued before the AI proof.,"The AI-produced construction independently gives a complete counterexample, although the target also follows from a 2024 projection result.",Its guarantee ranges over finite subsets of every size and rules out every finite general-position decomposition.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The historical duration uses the first known implication in 2024: 32 years from the 1992 framing, or 3.2 decades. The 2026 AI proof is an independent explicit resolution rather than the first solution.",High
33,2026-05,1,2,1,0,4,Superhuman,1995,2026,3.1,0,"erdos problem 26, generalized variant. a set with prescribed upper-density behavior under all natural dilations exists. proved +. the source explicitly notes that this is a more general variant rather than erdos's original wording. \\",Erdos Problem 26 generalized Tenenbaum variant: a divergent reciprocal sequence exists whose every positive shift generates multiples of upper density below 3/4.,The source identifies this exact stronger variant with the 1995 problem record; it predates the AI work even though it was not posed by Erdős himself.,The block-and-CRT construction proves the full existence statement for the stronger variant.,The construction satisfies the density bound uniformly for every positive integer shift k.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The documented 1995 variant was settled in 2026, an elapsed 31 years or 3.1 decades.",High
34,2026-05,1,2,1,0,4,Difficult,2022,2026,0.4,0,oeis conjectures. the agent proved 44 of 492 autoformalized open conjectures after test-lemma and manual statement checks. published exemplars concern the asymptotic number of subsets of with integral average and integrality of coefficients from hankel determinants. 44 proved +. aggregate result; the paper reports manual review for correct formalization and prior-unproved status. \\,"OEIS A051293: the number of nonempty subsets of {1,...,n} with integral average has the stated six-term asymptotic expansion.",The paper identifies the precise A051293 asymptotic as an OEIS conjecture added in 2022 and manually confirms that it was previously unproved.,"The proof establishes the full conjectured asymptotic expansion, so the selected anchor target is completely settled.",The result is an asymptotic theorem uniform in the unbounded parameter n.,"The 44-of-492 portfolio success rate is not target-specific evidence about A051293, and two independent prior attacks on this exact asymptotic were not documented.","The precise conjecture was added in 2022 and proved in 2026, only 0.4 decades; the sequence's earlier creation date is not used as the framing date.",High
35,2026-05,1,2,1,0,4,Difficult,2019,2026,0.7,0,"anchored gradient descent--ascent. an exact last-iterate convergence rate is proved for anchored gda in convex--concave min--max optimization, using a newly discovered parameter schedule. proved / improved bound +. formal proof; later work extended the result. \\",Anchored gradient descent-ascent has the exact O(1/t) last-iterate convergence rate under the paper's convex-concave assumptions.,The 2019 anchored-GDA analysis supplied the prior slower bound and left the exact O(1/t) rate as the quantitative target.,"A newly discovered schedule and recurrence proof attain the target rate, resolving the stated open question rather than merely checking a fixed schedule.",The guarantee is uniform across the stipulated convex-concave problem class and all iteration horizons.,The sources document prior analysis but not two independent attacks on this exact rate and do not report a controlled per-target low solve rate.,"The 2019 quantitative target was reached in 2026, an elapsed seven years or 0.7 decades.",medium
36,2026-05,1,1,1,0,3,Difficult,2025,2026,0.1,0,"weak bipartite graph reconstruction. a proposed reconstruction algorithm is correct for the paper's bipartite setting under an additional vertex-type condition; the unrestricted bipartite statement remains open. conditional theorem +. formal proof of the restricted theorem, not of the full reconstruction conjecture. \\",The proposed bipartite reconstruction algorithm is correct for finite 2-connected bipartite graphs with pairwise-distinct vertex types.,AlphaEvolve experiments formulated the bipartite reconstruction variants and proposed algorithm before the AlphaProof Nexus proof; the broader classical reconstruction conjecture is not used to backdate this precise target.,"The theorem proves a substantial structured subcase under an added type-distinguishability condition, while the unrestricted bipartite assertion remains open.",It applies uniformly to every finite bipartite graph satisfying the stated connectivity and type conditions.,No two independent prior attacks on this restricted algorithmic target and no controlled target-specific low solve rate are documented.,"The AI-formulated target dates to the 2025 AlphaEvolve work and the restricted theorem to 2026, about 0.1 decades.",medium
37,2026-05,1,2,1,0,4,Superhuman,1996,2026,3.0,0,graffiti leaf-bound conjecture. a 1996 graph-theory conjecture relating the maximum number of leaves in a spanning tree to independent sets in vertex neighborhoods is proved. proved +. formal proof; exact statement supplied in the cited source/repository. \\,Graffiti leaf-bound conjecture: the maximum spanning-tree leaf count satisfies the conjectured neighborhood-independence bound.,The exact graph-theory conjecture was generated and publicly recorded by Graffiti in 1996.,The formal proof establishes the conjectured bound for the full stated class and completely settles the target.,The theorem is uniform over the general class of finite graphs covered by the conjecture.,The source establishes long duration but does not document two independent prior attacks on the exact conjecture or a controlled target-specific solve experiment.,"The 1996 conjecture was settled in 2026, an elapsed 30 years or 3.0 decades.",high
38,2026-05,1,2,1,0,4,Difficult,2024,2026,0.2,0,zanello's conjecture. every pure -sequence of codimension three and type two is log-concave. proved +. formal proof with substantial reformulation and case analysis. \\,Zanello's conjecture: every pure O-sequence of codimension three and type two is log-concave.,"Zanello precisely formulated the codimension-three, type-two log-concavity conjecture in 2024.",The proof establishes log-concavity for every object in the conjectured class and closes the exact remaining case.,The conclusion ranges uniformly over all pure O-sequences of codimension three and type two and every internal index.,"Earlier work proves the weaker unimodality statement, but the source does not document two independent attacks on the exact log-concavity target or a controlled low solve rate for it.","The 2024 conjecture was settled in 2026, an elapsed two years or 0.2 decades.",high
39,2026-05,1,2,0,0,3,Difficult,2024,2026,0.2,1,"green's problem 57. the intended complex-valued equality of two quadratically structured function spaces is false; a candidate finite cyclic counterexample was formally certified. disproved +. counterexample is formally checked, but the dedicated paper was still in preparation at the source date. \\","Green's Problem 57: the intended complex-valued equality is false, as certified by a counterexample on Z/3Z.",The exact complex-valued equality was published as Problem 57 in Green's 2024 list and clarified as the intended target.,A formally checked separating functional on the finite cyclic group Z/3Z is a complete counterexample to the universal equality.,"The disproof rests on one fixed finite-group counterexample, so it does not receive the separate general-scope point.",The paper records numerical search and formal certification but not two independent prior attacks or a controlled target-level low solve rate.,Only about 0.2 decades elapsed from the 2024 list to the 2026 result; the entry is also provisional because its dedicated paper was still in preparation at the cut-off.,medium
4,2026-05,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"finite conductor and group rings. the finite-conductor property does not necessarily ascend from a g--gcd ring to for finitely generated abelian . counterexample . self-contained ai-generated proof, subsequently verified by human experts. \\",The finite-conductor property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.,Problem 4a(i) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.,The characteristic-two G-GCD/UFD construction is a counterexample and completely answers the yes-or-no target.,The result is witnessed by a particular ring and finite abelian group rather than a uniform theorem over a general class.,"The cited background develops the relevant ring conditions, but two independent prior attacks on the exact ascent question are not documented and there is no controlled solve-rate evaluation.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
5,2026-05,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"quasi-coherence and group rings. the quasi-coherent property likewise need not ascend from a g--gcd ring to its group ring. counterexample . ai-generated, human-verified preprint. \\",The quasi-coherent property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.,Problem 4a(ii) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.,The supplied G-GCD group-ring counterexample completely disproves the universal ascent assertion.,"One constructed ring-group pair witnesses failure, so the separate general-scope criterion is not met.",No controlled low-success experiment or two independent published attacks on this exact ascent problem are documented.,"The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
6,2026-05,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"integer-valued polynomial birings. there exists an integral domain for which admits no compatible -- biring structure of the specified kind. counterexample . ai-generated, human-verified preprint. \\",There is an integral domain D for which Int(D) admits no compatible D-D-biring structure of the specified kind.,Problem 21 in the 2014 Open Problems in Commutative Ring Theory volume asks whether the compatible biring structure always exists.,The explicit domain is a counterexample to the universal existence claim and fully resolves the problem.,The disproof uses one explicit domain rather than a uniform result across an unbounded class.,"The antecedent biring characterization is documented, but not two independent attempts at this exact existence question or a controlled target-specific evaluation.","Using the conservative exact problem-list date of 2014, the 2026 resolution follows after 12 years or 1.2 decades.",high
7,2026-05,1,2,1,0,4,Superhuman,2014,2026,1.2,0,"agcd domains. if every nonzero -locally principal ideal of an almost-gcd domain is -invertible, then the domain has finite -character. proved . ai-generated, human-verified preprint. \\",Every AGCD domain in which each nonzero t-locally principal ideal is t-invertible has finite t-character.,Problem 35 in the 2014 Open Problems in Commutative Ring Theory volume states this exact implication.,"The proof establishes the implication affirmatively with no remaining condition, completely settling the target.",The theorem applies uniformly to every AGCD domain satisfying the stated ideal-theoretic hypothesis.,"The proof uses earlier t-invertibility results, but the record does not establish two independent prior attempts on this exact implication or a controlled low solve rate.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
8,2026-05,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"david's domain. david's three-dimensional non-noetherian factorial domain is locally jaffard. proved . ai-generated, human-verified preprint. \\",David's three-dimensional non-Noetherian factorial domain is locally Jaffard.,Problem 37b in the 2014 Open Problems in Commutative Ring Theory volume asks this exact question about David's domain.,The proof establishes local Jaffardness at every prime and fully answers the yes-or-no target.,"Despite the internal universal quantifier over primes, the theorem concerns one fixed named domain and therefore does not receive the general-scope point.",The prior paper proving that the domain is Jaffard is one partial antecedent; two independent attacks on local Jaffardness and a controlled evaluation are not documented.,"The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
9,2026-05,1,2,0,0,3,Difficult,2017,2026,0.9,0,"boij--s""oderberg realization, codimension three. not every integral point on a codimension-three pure ray is realized over or the enveloping algebra of the heisenberg lie algebra. disproved . explicit negative construction, human verified. \\","Not every integral point on a codimension-three pure ray is realizable over either k[x,y,z] or the enveloping algebra of the Heisenberg Lie algebra.",Question 6.1 in Erman and Sam's 2017 Boij-Soderberg survey states the exact realization question.,"The degree sequence (0,6,20,21) with Betti vector (1,2,9,8) is a complete counterexample to the universal realization assertion.","A single explicit degree sequence and integral point supply the disproof, so the separate scope point is not awarded.","The general theory supplies background, but the source does not document two independent attacks on this exact realization question or a controlled low-success test.","The 2017 question was answered in 2026, an elapsed nine years or 0.9 decades, just below the override threshold.",high
40,2026-06,1,2,0,1,4,Difficult,2025,2026,0.1,0,book ramsey number. . proved +. lean formalization of the upper bound accompanies the paper; lower bound was known. \\,"The book Ramsey number R(B8,B10) equals 37.",The exact quantitative frontier was documented before the AI proof: a 2025 lower bound of 37 and an earlier upper bound of 38 left a one-gap window.,The new upper bound matches the known lower bound and therefore determines the exact Ramsey number.,This is one fixed Ramsey-number instance rather than a uniform family or worst-case guarantee.,"Independent prior works directly bounded this same instance from above and below, including Rousseau-Sheehan's 1978 upper theorem and Lidicky et al.'s 2025 lower bound.","The precise one-gap target existed by 2025 and was closed in 2026, about 0.1 decades.",high
2,2026-07,1,2,1,1,5,Difficult,1973,2026,5.3,1,"cycle double cover conjecture. every finite bridgeless graph has a multiset of cycles covering every edge exactly twice. claimed proof +. a specialist clarification exists, but the claim was only days old at the cut-off and had not completed conventional peer review. \\",Cycle Double Cover Conjecture: every finite bridgeless graph has a multiset of cycles covering every edge exactly twice.,"Szekeres stated the exact conjecture in 1973, with Seymour independently formulating it in 1979.",The announced proof claims to establish the full conjecture for every finite bridgeless graph.,"The conclusion is uniform over the general, unbounded class of finite bridgeless graphs.","The independent 1973 and 1979 formulations were followed by many distinct partial-result programs and surveys, amply satisfying the two-prior-attempt criterion.","The announced 2026 proof comes 53 years or 5.3 decades after the 1973 framing, but the entry remains Difficult rather than Superhuman because it was provisional at the report cut-off.",high
41,2026-07,0,1,0,0,1,Expected,,2026,,0,ap\'ery's constant and chemical reaction networks. is crn-computable via a machine-checked construction from its holonomic generating function. proved +. no admitted gaps; very recent july preprint. \\,Apery's constant zeta(3) is CRN-computable via the paper's unconditional Fermi-Dirac integral construction.,The paper presents zeta(3) as a newly selected interesting target; no source predating this work is identified as posing the exact CRN-computability question.,"This is a genuine new theorem, but without a documented prior target it receives the material-new-result score rather than the complete-target score.","The theorem constructs a computation for one fixed constant, not a uniform theorem for an unbounded class; the holonomic-series route is explicitly not the unconditional exact construction.",No two prior attacks on the exact zeta(3) CRN-computability target and no controlled low-success experiment are documented.,"No defensible pre-solution framing date for this exact target was found, so historical age and the override are not assigned.",high
44,2026-07,1,2,0,1,4,Difficult,1939,2026,8.7,1,"jacobian conjecture. a recently announced polynomial map with constant nonzero jacobian determinant and multiple preimages would disprove keller's conjecture in dimension three, and hence in all dimensions , if the announced construction withstands further checking. claimed counterexample +. public announcement and rapid symbolic verification have circulated, but the result was only just announced at the report cut-off and should not yet be treated as a fully settled theorem. \\",A three-dimensional polynomial map with constant nonzero Jacobian and multiple preimages would disprove the Jacobian Conjecture in every dimension at least three.,"Keller framed the Jacobian Conjecture in 1939, and the announced map directly targets its dimension-three case.","If validated, one explicit noninjective constant-Jacobian map completely disproves the universal conjecture in dimensions three and above.","The claim is witnessed by one explicit polynomial map, so it does not receive the separate general-scope point even though standard extension propagates the consequence to higher dimensions.","The Jacobian Conjecture has multiple independent reduction, special-case, and attempted-solution literatures spanning decades, well beyond the two-attempt threshold.","The 2026 announcement is 87 years or 8.7 decades after the 1939 framing, but provisional status at the cut-off prevents the Superhuman override.",medium
