id,period,publication_date,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence
26,2026-05,2026-05-21,1,2,1,1,5,Superhuman,1970,2026,5.6,0,"erdos problem 12(ii). the stronger companion assertion, imposing the density condition for every parameter and all sufficiently large scales, also holds. proved +. lean proof; experts checked statement fidelity. \\","For every epsilon > 0 and all sufficiently large N, a construction for Erdos problem 12(ii) reaches N^(1-epsilon), refuting the proposed sparse upper behaviour.",Erdos and Sarkozy posed the exact second question in 1970.,"The all-epsilon construction gives a complete negative resolution of part (ii), not merely a better exponent at one epsilon.","The statement is asymptotic, covering every epsilon > 0 and all sufficiently large N.","The long-running shared problem line contains multiple independent published investigations, and controlled benchmark attempts also showed nontrivial resistance.","Framed in 1970 and solved in 2026: 56 years = 5.6 decades, satisfying the historical override.",medium
27,2026-05,2026-05-21,1,2,1,1,5,Superhuman,1996,2026,3.0,0,"erdos problem 125. if and are the nonnegative integers using only digits in bases three and four, then has lower density zero. proved +. the system first helped expose a density misformalization; the corrected statement was then proved. \\","The set in Erdos problem 125 has lower density zero, answering the positive-lower-density question negatively.","Burr, Erdos, Graham, and Li posed the exact density question in 1996.",The zero-lower-density theorem fully resolves the yes-or-no target.,"The conclusion is an asymptotic density theorem, not a fixed finite computation.",Melfi in 2001 and Hasler-Melfi in 2024 independently established quantitative partial bounds before the final result.,"Framed in 1996 and solved in 2026: 30 years = 3.0 decades, satisfying the historical override.",high
28,2026-05,2026-05-21,1,2,1,0,4,Superhuman,1981,2026,4.5,0,"erdos problem 138, variant. a formalized variant giving a bound for van der waerden numbers is proved by greedy coloring extension and a monochromatic-intersection lemma. proved +. formal variant, clearly marked as such in the source. \\",Erdos Problem 138 differences variant: W(k+1)-W(k) tends to infinity.,Erdos explicitly asked the differences question in 1981; it is an exact pre-existing target rather than a newly proposed variant.,The proved bound W(k+1) >= W(k)+k completely answers the differences question.,The conclusion is uniform for the unbounded parameter k and gives an asymptotic statement.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The exact 1981 question was settled in 2026, an elapsed 45 years or 4.5 decades.",high
29,2026-05,2026-05-21,1,2,1,1,5,Superhuman,1994,2026,3.2,0,erdos problem 152. every sufficiently large sidon set has many isolated points in its sumset . proved +. lean proof; experts checked the formalization. \\,Erdos Problem 152: sufficiently large finite Sidon sets have arbitrarily many isolated elements in A+A.,The exact question appears in the 1994 Erdős-Sarkozy-Sos work on sumsets of Sidon sets.,The proof establishes the stronger quadratic lower bound I(A+A) >= (n^2-100n-16)/16 and therefore completely settles the target.,The theorem applies to every finite Sidon set and uniformly as its size tends to infinity.,"In the disclosed controlled evaluation, Codex failed problem 152 in two 12-hour attempts; smaller Gemini agents, standalone AlphaProof, and Claude Code also failed the tested Erdős instances under stated budgets.","The 1994 target was settled in 2026, an elapsed 32 years or 3.2 decades.",high
30,2026-05,2026-05-21,1,2,1,0,4,Superhuman,1994,2026,3.2,0,"erdos problem 741(i). a positive-upper-density set admits the decomposition required by the problem, with both pieces retaining positive upper density. proved +. corrected upper-density reading; lean proof. \\",Erdos Problem 741(i): every A whose sumset has positive upper density admits a partition whose two component sumsets both have positive upper density.,The question was published in 1994; the audited target uses the upper-density reading that the source paper and problem curator identify as the intended interpretation.,The alternating-block proof gives the required decomposition for every qualifying A and completely answers the corrected target.,The result is uniform over the general class of all subsets A of the natural numbers whose sumset has positive upper density.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"Using the documented 1994 formulation and its clarified upper-density reading, the elapsed time to the 2026 solution is 32 years or 3.2 decades.",high
31,2026-05,2026-05-21,1,2,1,0,4,Superhuman,1994,2026,3.2,0,erdos problem 741(ii). there exists an additive basis of order two satisfying the problem's simultaneous bounded-gap requirements. proved +. lean proof. \\,Erdos Problem 741(ii): an additive basis of order two exists for which every bipartition leaves unbounded gaps in at least one component sumset.,The exact companion question was documented in 1994 before the AI work.,The explicit forbidden-zone construction supplies the requested basis and settles the existence question.,"Although one basis is constructed, the guarantee is uniform over every bipartition of that infinite basis and produces gaps of unbounded length.",The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The 1994 question was settled in 2026, an elapsed 32 years or 3.2 decades.",high
33,2026-05,2026-05-21,1,2,1,0,4,Superhuman,1995,2026,3.1,0,"erdos problem 26, generalized variant. a set with prescribed upper-density behavior under all natural dilations exists. proved +. the source explicitly notes that this is a more general variant rather than erdos's original wording. \\",Erdos Problem 26 generalized Tenenbaum variant: a divergent reciprocal sequence exists whose every positive shift generates multiples of upper density below 3/4.,The source identifies this exact stronger variant with the 1995 problem record; it predates the AI work even though it was not posed by Erdős himself.,The block-and-CRT construction proves the full existence statement for the stronger variant.,The construction satisfies the density bound uniformly for every positive integer shift k.,The disclosed comparison is aggregate and the strongest system solved this target; it does not establish low success for this exact target under a predeclared reference panel.,"The documented 1995 variant was settled in 2026, an elapsed 31 years or 3.1 decades.",high
34,2026-05,2026-05-21,1,2,1,0,4,Difficult,2022,2026,0.4,0,oeis conjectures. the agent proved 44 of 492 autoformalized open conjectures after test-lemma and manual statement checks. published exemplars concern the asymptotic number of subsets of with integral average and integrality of coefficients from hankel determinants. 44 proved +. aggregate result; the paper reports manual review for correct formalization and prior-unproved status. \\,"OEIS A051293: the number of nonempty subsets of {1,...,n} with integral average has the stated six-term asymptotic expansion.",The paper identifies the precise A051293 asymptotic as an OEIS conjecture added in 2022 and manually confirms that it was previously unproved.,"The proof establishes the full conjectured asymptotic expansion, so the selected anchor target is completely settled.",The result is an asymptotic theorem uniform in the unbounded parameter n.,"The 44-of-492 portfolio success rate is not target-specific evidence about A051293, and two independent prior attacks on this exact asymptotic were not documented.","The precise conjecture was added in 2022 and proved in 2026, only 0.4 decades; the sequence's earlier creation date is not used as the framing date.",high
35,2026-05,2026-05-21,1,2,1,0,4,Difficult,2019,2026,0.7,0,"anchored gradient descent--ascent. an exact last-iterate convergence rate is proved for anchored gda in convex--concave min--max optimization, using a newly discovered parameter schedule. proved / improved bound +. formal proof; later work extended the result. \\",Anchored gradient descent-ascent has the exact O(1/t) last-iterate convergence rate under the paper's convex-concave assumptions.,The 2019 anchored-GDA analysis supplied the prior slower bound and left the exact O(1/t) rate as the quantitative target.,"A newly discovered schedule and recurrence proof attain the target rate, resolving the stated open question rather than merely checking a fixed schedule.",The guarantee is uniform across the stipulated convex-concave problem class and all iteration horizons.,The sources document prior analysis but not two independent attacks on this exact rate and do not report a controlled per-target low solve rate.,"The 2019 quantitative target was reached in 2026, an elapsed seven years or 0.7 decades.",medium
36,2026-05,2026-05-21,1,1,1,0,3,Difficult,2025,2026,0.1,0,"weak bipartite graph reconstruction. a proposed reconstruction algorithm is correct for the paper's bipartite setting under an additional vertex-type condition; the unrestricted bipartite statement remains open. conditional theorem +. formal proof of the restricted theorem, not of the full reconstruction conjecture. \\",The proposed bipartite reconstruction algorithm is correct for finite 2-connected bipartite graphs with pairwise-distinct vertex types.,AlphaEvolve experiments formulated the bipartite reconstruction variants and proposed algorithm before the AlphaProof Nexus proof; the broader classical reconstruction conjecture is not used to backdate this precise target.,"The theorem proves a substantial structured subcase under an added type-distinguishability condition, while the unrestricted bipartite assertion remains open.",It applies uniformly to every finite bipartite graph satisfying the stated connectivity and type conditions.,No two independent prior attacks on this restricted algorithmic target and no controlled target-specific low solve rate are documented.,"The AI-formulated target dates to the 2025 AlphaEvolve work and the restricted theorem to 2026, about 0.1 decades.",medium
37,2026-05,2026-05-21,1,2,1,0,4,Superhuman,1996,2026,3.0,0,graffiti leaf-bound conjecture. a 1996 graph-theory conjecture relating the maximum number of leaves in a spanning tree to independent sets in vertex neighborhoods is proved. proved +. formal proof; exact statement supplied in the cited source/repository. \\,Graffiti leaf-bound conjecture: the maximum spanning-tree leaf count satisfies the conjectured neighborhood-independence bound.,The exact graph-theory conjecture was generated and publicly recorded by Graffiti in 1996.,The formal proof establishes the conjectured bound for the full stated class and completely settles the target.,The theorem is uniform over the general class of finite graphs covered by the conjecture.,The source establishes long duration but does not document two independent prior attacks on the exact conjecture or a controlled target-specific solve experiment.,"The 1996 conjecture was settled in 2026, an elapsed 30 years or 3.0 decades.",high
38,2026-05,2026-05-21,1,2,1,0,4,Difficult,2024,2026,0.2,0,zanello's conjecture. every pure -sequence of codimension three and type two is log-concave. proved +. formal proof with substantial reformulation and case analysis. \\,Zanello's conjecture: every pure O-sequence of codimension three and type two is log-concave.,"Zanello precisely formulated the codimension-three, type-two log-concavity conjecture in 2024.",The proof establishes log-concavity for every object in the conjectured class and closes the exact remaining case.,The conclusion ranges uniformly over all pure O-sequences of codimension three and type two and every internal index.,"Earlier work proves the weaker unimodality statement, but the source does not document two independent attacks on the exact log-concavity target or a controlled low solve rate for it.","The 2024 conjecture was settled in 2026, an elapsed two years or 0.2 decades.",high
39,2026-05,2026-05-21,1,2,0,0,3,Difficult,2024,2026,0.2,1,"green's problem 57. the intended complex-valued equality of two quadratically structured function spaces is false; a candidate finite cyclic counterexample was formally certified. disproved +. counterexample is formally checked, but the dedicated paper was still in preparation at the source date. \\","Green's Problem 57: the intended complex-valued equality is false, as certified by a counterexample on Z/3Z.",The exact complex-valued equality was published as Problem 57 in Green's 2024 list and clarified as the intended target.,A formally checked separating functional on the finite cyclic group Z/3Z is a complete counterexample to the universal equality.,"The disproof rests on one fixed finite-group counterexample, so it does not receive the separate general-scope point.",The paper records numerical search and formal certification but not two independent prior attacks or a controlled target-level low solve rate.,Only about 0.2 decades elapsed from the 2024 list to the 2026 result; the entry is also provisional because its dedicated paper was still in preparation at the cut-off.,medium
4,2026-05,2026-05-24,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"finite conductor and group rings. the finite-conductor property does not necessarily ascend from a g--gcd ring to for finitely generated abelian . counterexample . self-contained ai-generated proof, subsequently verified by human experts. \\",The finite-conductor property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.,Problem 4a(i) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.,The characteristic-two G-GCD/UFD construction is a counterexample and completely answers the yes-or-no target.,The result is witnessed by a particular ring and finite abelian group rather than a uniform theorem over a general class.,"The cited background develops the relevant ring conditions, but two independent prior attacks on the exact ascent question are not documented and there is no controlled solve-rate evaluation.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
5,2026-05,2026-05-24,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"quasi-coherence and group rings. the quasi-coherent property likewise need not ascend from a g--gcd ring to its group ring. counterexample . ai-generated, human-verified preprint. \\",The quasi-coherent property need not ascend from a G-GCD ring to its group ring over a finitely generated abelian group.,Problem 4a(ii) in the 2014 Open Problems in Commutative Ring Theory volume states the exact ascent question.,The supplied G-GCD group-ring counterexample completely disproves the universal ascent assertion.,"One constructed ring-group pair witnesses failure, so the separate general-scope criterion is not met.",No controlled low-success experiment or two independent published attacks on this exact ascent problem are documented.,"The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
6,2026-05,2026-05-24,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"integer-valued polynomial birings. there exists an integral domain for which admits no compatible -- biring structure of the specified kind. counterexample . ai-generated, human-verified preprint. \\",There is an integral domain D for which Int(D) admits no compatible D-D-biring structure of the specified kind.,Problem 21 in the 2014 Open Problems in Commutative Ring Theory volume asks whether the compatible biring structure always exists.,The explicit domain is a counterexample to the universal existence claim and fully resolves the problem.,The disproof uses one explicit domain rather than a uniform result across an unbounded class.,"The antecedent biring characterization is documented, but not two independent attempts at this exact existence question or a controlled target-specific evaluation.","Using the conservative exact problem-list date of 2014, the 2026 resolution follows after 12 years or 1.2 decades.",high
7,2026-05,2026-05-24,1,2,1,0,4,Superhuman,2014,2026,1.2,0,"agcd domains. if every nonzero -locally principal ideal of an almost-gcd domain is -invertible, then the domain has finite -character. proved . ai-generated, human-verified preprint. \\",Every AGCD domain in which each nonzero t-locally principal ideal is t-invertible has finite t-character.,Problem 35 in the 2014 Open Problems in Commutative Ring Theory volume states this exact implication.,"The proof establishes the implication affirmatively with no remaining condition, completely settling the target.",The theorem applies uniformly to every AGCD domain satisfying the stated ideal-theoretic hypothesis.,"The proof uses earlier t-invertibility results, but the record does not establish two independent prior attempts on this exact implication or a controlled low solve rate.","The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
8,2026-05,2026-05-24,1,2,0,0,3,Superhuman,2014,2026,1.2,0,"david's domain. david's three-dimensional non-noetherian factorial domain is locally jaffard. proved . ai-generated, human-verified preprint. \\",David's three-dimensional non-Noetherian factorial domain is locally Jaffard.,Problem 37b in the 2014 Open Problems in Commutative Ring Theory volume asks this exact question about David's domain.,The proof establishes local Jaffardness at every prime and fully answers the yes-or-no target.,"Despite the internal universal quantifier over primes, the theorem concerns one fixed named domain and therefore does not receive the general-scope point.",The prior paper proving that the domain is Jaffard is one partial antecedent; two independent attacks on local Jaffardness and a controlled evaluation are not documented.,"The exact 2014 problem was resolved in 2026, an elapsed 12 years or 1.2 decades.",high
9,2026-05,2026-05-24,1,2,0,0,3,Difficult,2017,2026,0.9,0,"boij--s""oderberg realization, codimension three. not every integral point on a codimension-three pure ray is realized over or the enveloping algebra of the heisenberg lie algebra. disproved . explicit negative construction, human verified. \\","Not every integral point on a codimension-three pure ray is realizable over either k[x,y,z] or the enveloping algebra of the Heisenberg Lie algebra.",Question 6.1 in Erman and Sam's 2017 Boij-Soderberg survey states the exact realization question.,"The degree sequence (0,6,20,21) with Betti vector (1,2,9,8) is a complete counterexample to the universal realization assertion.","A single explicit degree sequence and integral point supply the disproof, so the separate scope point is not awarded.","The general theory supplies background, but the source does not document two independent attacks on this exact realization question or a controlled low-success test.","The 2017 question was answered in 2026, an elapsed nine years or 0.9 decades, just below the override threshold.",high
10,2026-05,2026-05-24,1,2,0,0,3,Difficult,2017,2026,0.9,0,"boij--s""oderberg realization over graded lie algebras. the analogous realization assertion for arbitrary finite-dimensional positively graded lie algebras generated in degree one is false. disproved . explicit negative construction, human verified. \\","A specific integral degree sequence cannot be realised by the proposed graded-Lie construction, so the universal Boij-Soderberg realisation question has a negative answer.",The exact universal question appears as Question 6.2 in the published 2017 Erman-Sam survey.,One certified counterexample is logically sufficient to settle the universal question in full.,"The resolution turns on a single degree sequence and witness obstruction, so the scope signal is zero.",No two independent published attempts at this exact realisation question were located.,The citable problem statement was published in 2017 and solved in 2026: 9 years = 0.9 decades.,medium
40,2026-06,2026-06-04,1,2,0,1,4,Difficult,2025,2026,0.1,0,book ramsey number. . proved +. lean formalization of the upper bound accompanies the paper; lower bound was known. \\,"The book Ramsey number R(B8,B10) equals 37.",The exact quantitative frontier was documented before the AI proof: a 2025 lower bound of 37 and an earlier upper bound of 38 left a one-gap window.,The new upper bound matches the known lower bound and therefore determines the exact Ramsey number.,This is one fixed Ramsey-number instance rather than a uniform family or worst-case guarantee.,"Independent prior works directly bounded this same instance from above and below, including Rousseau-Sheehan's 1978 upper theorem and Lidicky et al.'s 2025 lower bound.","The precise one-gap target existed by 2025 and was closed in 2026, about 0.1 decades.",high
45,2026-07,2026-07-01,1,2,1,0,4,Difficult,2025,2026,0.1,0,equivariant fixed-level demailly identity. the fixed-level equivariant tian alpha invariant equals the fixed-level equivariant global log canonical threshold in full generality. proved. chatgpt 5.5 pro and danus assisted; the authors verified the proof.,"For every Fano manifold, compact subgroup and basepoint-free level, the fixed-level equivariant Tian alpha invariant equals the corresponding equivariant global log canonical threshold.",Jin and Rubinstein stated the exact fixed-level equality as Problem 1.2 in 2025.,The theorem answers the equality question affirmatively in full generality rather than only in the previously known toric case.,"The result is uniform over arbitrary compact complex manifolds, basepoint-free line bundles and compact group actions.","The toric theorem is one documented partial result, but the source does not establish two independent attacks on the exact general question.","The 2025 question was answered in 2026, an elapsed one year or 0.1 decades.",high
46,2026-07,2026-07-02,1,2,1,0,4,Superhuman,2010,2026,1.6,0,homeomorphism classification for hilbertian-ball relatives. all nontrivial spaces in the parameterized family are homeomorphic to the hilbertian ball. proved. chatgpt 5.5 found the solution; the author checked and presented it.,"All nontrivial spaces B(kappa,a,b) considered by Aviles and Kalenda are homeomorphic to the Hilbertian ball B(kappa).",Aviles and Kalenda's 2010 problem collection asks the corresponding homeomorphism questions for these spaces.,The paper gives a complete affirmative classification across the nontrivial parameter cases.,"The conclusion ranges over the full parameter family, including arbitrary relevant cardinals and exponents.","Related earlier topology results are cited, but two independent attacks on this exact all-parameter classification are not documented.","The 2010 questions were settled in 2026, an elapsed 16 years or 1.6 decades, so the complete nonprovisional result receives the duration override.",high
47,2026-07,2026-07-03,1,2,1,1,5,Superhuman,2011,2026,1.5,0,"signed basic adjoint relationship uniqueness. finite-signed uniqueness holds for stable harrison-reiman data with a nonsingular m-matrix, while a structural obstruction appears in the larger completely-s class. proved and disproved. chatgpt-assisted proof, verified by the authors.","Finite signed BAR tuples uniquely determine the stationary distribution for stable Harrison-Reiman nonsingular-M-matrix data, but the analogous statement fails in the larger completely-S class.","Dai and Dieker formulated the signed BAR question in 2011, within a BAR uniqueness program dating to Dai and Harrison's 1991 and 1992 work.","The positive theorem closes the signed uniqueness question throughout the Harrison-Reiman class, and the obstruction sharply identifies why the natural extension fails.",The theorem applies uniformly to all stable data in the stated matrix class rather than to a fixed reflected diffusion.,"The Dai-Harrison and Dai-Dieker lines provide multiple published, methodologically distinct attacks on BAR uniqueness; this point is conservative only if the earlier work is judged too broad for the signed target.","Using the exact signed formulation, the 2011 target was resolved in 2026 after 15 years or 1.5 decades, triggering the duration override.",medium-high
48,2026-07,2026-07-04,1,2,1,0,4,Difficult,2022,2026,0.4,0,k-polystable toric fano varieties with small alpha invariants. an explicit family realizes alpha equal to 2/(2n+1) in every dimension n at least two. proved construction. chatgpt 5.5 pro and danus assisted; humans verified it.,"For every integer n at least two, there exists a K-semistable Q-Fano variety with alpha invariant strictly between 1/(n+1) and 1/n.",Liu and Zhuang stated this exact Q-Fano existence problem as Question 1.5(1) in 2022.,The toric K-polystable family supplies an example in every requested dimension and completely answers the Q-Fano question.,The construction works uniformly for every dimension n at least two.,The source does not document two independent attempts on this exact Q-Fano existence question.,"The 2022 question was answered in 2026, an elapsed four years or 0.4 decades.",high
49,2026-07,2026-07-05,1,2,0,0,3,Difficult,2022,2026,0.4,0,slope-unstable bundle with 1-homogeneous projectivization. an explicit bundle on the projective plane answers fulger and langer's existence question. proved construction. chatgpt 5.5 pro and danus assisted; humans verified it.,There exists a slope-unstable vector bundle on a complex projective surface whose projectivization has the required 1-homogeneity property.,Fulger and Langer posed the exact surface existence question as Question 2(2) in 2022.,The bundle T(P2)(-1) direct-sum O on the projective plane is a complete witness to the existence question.,The disproof or existence claim rests on one explicit surface and bundle rather than a uniform general class.,No two independent prior attacks on this exact existence question are documented.,"The 2022 question was answered in 2026, an elapsed four years or 0.4 decades.",high
50,2026-07,2026-07-06,1,2,1,0,4,Difficult,2026,2026,0.0,0,"two questions on saturated filtrations. monotone d1 convergence fails by an explicit counterexample, while the relevant metric space is contractible for every noetherian analytically irreducible local domain. disproved and proved. the main result was obtained by chatgpt 5.5 pro and danus.","Qi's monotone d1-convergence question has a counterexample, whereas Qi's contractibility question has an affirmative answer for every Noetherian analytically irreducible local domain.",Qi published both exact questions as Questions 6.5 and 6.6 in 2026.,"The paper completely answers both yes-or-no questions, one negatively and one affirmatively.","Although the counterexample is fixed, the affirmative contractibility theorem ranges over every domain in the stated general class.","The questions were newly posed, and the record does not establish two independent prior attempts or a controlled low solve rate.","Both questions and their solutions appeared in 2026, so the rounded historical age is 0.0 decades.",high
51,2026-07,2026-07-06,1,2,1,0,4,Difficult,2026,2026,0.0,0,odd-dimensional rank bound for abelian p-group actions. a family of smooth calabi-yau counterexamples disproves moraga's proposed extension. counterexample. mostly ai-generated and human-verified.,Moraga's proposed odd-dimensional rank bound for faithful abelian p-group actions on smooth Calabi-Yau varieties is false.,Moraga's exact odd-dimensional extension was recorded publicly by Kollar and Zhuang in 2026.,The construction completely refutes the universal odd-dimensional claim.,"Beyond the main p=5 witness, the paper extends the construction to every odd prime p, supplying an unbounded family rather than a lone instance.",The newly recorded conjecture has no documented pair of independent prior attacks or controlled low-success evaluation.,"The recorded conjecture and counterexample both date to 2026, for a rounded age of 0.0 decades.",medium-high
52,2026-07,2026-07-07,0,1,1,0,2,Expected,,2026,"",0,"stable phase retrieval for spans of independent random variables. the paper gives a complete characterization and a partially llm-generated alternative proof, with lean autoformalization. proved. the exact conjecture appears to have been communicated privately rather than publicly framed before this work.",The paper characterizes stable phase retrieval for spans of independent centered real random variables.,"The exact conjecture is described as privately communicated and is first documented in this paper, so the strict public-prior-target criterion is not met.","The characterization is a material new theorem, but without a qualifying public prior target it receives the new-result score rather than the complete-target score.",The result covers a general unbounded class of spans of independent centered random variables.,No two independent public attacks on the exact characterization and no controlled target-specific low solve rate are documented.,"No defensible public pre-solution framing date for the exact conjecture was found, so historical age is left unassigned.",medium
2,2026-07,2026-07-09,1,2,1,1,5,Superhuman,1973,2026,5.3,0,Cycle Double Cover Conjecture. Every finite loopless bridgeless undirected multigraph has a multiset of cycles covering every edge exactly twice. The AI-generated proof now has a public Lean formalization and independent expert expositions by Jim Geelen and Sang-il Oum.,Cycle Double Cover Conjecture: every finite bridgeless graph has a multiset of cycles covering every edge exactly twice.,"Szekeres stated the exact conjecture in 1973, with Seymour independently formulating it in 1979.",The announced proof claims to establish the full conjecture for every finite bridgeless graph.,"The conclusion is uniform over the general, unbounded class of finite bridgeless graphs.","The independent 1973 and 1979 formulations were followed by many distinct partial-result programs and surveys, amply satisfying the two-prior-attempt criterion.","The 2026 proof comes 53 years, or 5.3 decades, after Szekeres's 1973 framing. Formal verification and two independent specialist expositions remove the baseline's provisional hold.",high
53,2026-07,2026-07-09,0,1,1,0,2,Expected,,2026,"",0,triangle characterization of affine permutation inversion graphs. a local weighted-triangle condition yields a new characterization and an O(|R|+n^3) recognition algorithm. proved. chatgpt suggested key simplifying insights.,"Affine permutation inversion graphs admit the paper's local triangle characterization, yielding efficient recognition algorithms.","Papi's earlier characterization supplies background, but no source predating this work poses the exact local-triangle characterization or stated algorithmic target.","The characterization and recognition algorithm are material new results, without a qualifying exact prior target.",The theorems range over all affine permutation inversion graphs and inversion sets rather than a fixed graph.,No two prior attacks on this exact characterization or controlled low-success experiment are documented.,"No defensible pre-solution framing date for the exact target was found, so historical age is not assigned.",high
54,2026-07,2026-07-09,1,2,1,1,5,Superhuman,1976,2026,5.0,0,"real sum-product conjecture. seven independently generated proofs disprove the conjecture over the reals, following the first human disproof in 2026. gpt-5.5 pro autonomously generated correct proofs in seven of eight predeclared trials; the author verified them and released the code, intermediate outputs and proofs. counted as one bounded independent proof package, not as the first solution.","There is a constant c>0 and arbitrarily large finite sets A of real numbers for which both the sumset and product set have size at most |A|^(2-c), disproving the real Erdős-Szemerédi sum-product conjecture.","Erdős formulated the real sum-product target in 1976, and Erdős and Szemerédi later published the standard precise conjecture.","Each verified proof gives a complete disproof of the conjectured near-quadratic lower bound, although a human disproof appeared first in 2026.",The construction supplies arbitrarily large real sets and therefore an unbounded family rather than one finite witness.,Several independent lines of sum-product research pursued the exact real conjecture before 2026; the seven-of-eight model success rate is recorded but does not itself earn this point under the controlled-comparison threshold.,The 1976 framing was disproved in 2026 after 50 years or 5.0 decades; this independent non-provisional proof package meets the duration override.,high
55,2026-07,2026-07-10,0,1,1,0,2,Expected,,2026,"",0,"garding's theorem for posynomials. zero-freeness of a homogeneous posynomial on a product of right half-planes implies concavity of its degree-normalized root, with fractional log-concavity consequences. proved in an author-checked ai interaction.",The Gårding concavity conclusion extends from homogeneous polynomials to homogeneous posynomials with arbitrary nonnegative real exponents.,The paper presents this extension as a new theorem rather than the resolution of an exact public conjecture.,"It establishes a substantive general theorem and consequences, but does not settle a qualifying prior sharp target.",The theorem applies uniformly to arbitrary finite positive sums of monomials with nonnegative real exponents satisfying the zero-free hypothesis.,No two independent attempts on this exact posynomial extension or controlled low-success evaluation are documented.,"No qualifying pre-solution framing date was identified, so historical age is unassigned.",high
56,2026-07,2026-07-13,1,2,1,0,4,Difficult,2023,2026,0.3,0,type d asep long-time asymptotics. the paper proves the predicted gue tracy-widom current and tagged-position marginals and additional correlated and uncorrelated limits. proved. claude and fable wrote the body; lean formalization and manual verification accompany it.,The type D ASEP current and tagged-position marginals have the GUE Tracy-Widom fluctuations predicted in 2023.,Blyschak and collaborators explicitly predicted the Tracy-Widom behavior for the type D ASEP in 2023.,The direct marginal theorem proves the predicted limiting law rather than merely strengthening partial evidence.,"The result applies across the model's parameter and species family, not to one fixed finite process instance.",The cited 2023 conjecturing work is one exact-target line; two independent prior attacks are not documented.,"The 2023 prediction was proved in 2026, an elapsed three years or 0.3 decades.",high
57,2026-07,2026-07-13,1,2,1,1,5,Superhuman,2006,2026,2.0,0,"benjamini-hochberg under correlated two-sided gaussian tests. explicit factor models show that the procedure can exceed its nominal false-discovery rate. counterexample family. gpt-5.6 generated the proof, example and code; the author checked them with rigorous interval arithmetic.",The Benjamini-Hochberg procedure does not always control the false discovery rate for arbitrarily correlated two-sided Gaussian tests.,"The universal-control conjecture was investigated explicitly from Farcomeni's 2006 work onward, with later papers and numerical evidence treating the same target.",A rigorously certified family with FDR above 0.0104 at nominal level 0.01 completely disproves the universal claim.,The construction works for all sufficiently large problem sizes within a parameterized Gaussian factor-model family.,Multiple independent theoretical and simulation-based investigations from 2006 onward directly tested the same arbitrary-correlation claim.,"Using the earliest explicit 2006 investigation, the 2026 disproof follows after 20 years or 2.0 decades and receives the duration override.",high
58,2026-07,2026-07-13,1,2,1,1,5,Difficult,1980,2026,4.6,1,"erdos problem 421. a prime-gap greedy construction claims a density-one increasing sequence whose products over distinct consecutive blocks are all different. claimed proof +. gpt-5.6 sol supplied the successful argument after earlier unsuccessful model attempts; an independent public reconstruction expands and audits the proof. counted at the 13 july proof date, while the official problem page remained open and specialist review was pending.",There exists a density-one increasing sequence of positive integers in which products over any two distinct consecutive index intervals are unequal.,Erdos and Graham published the exact density-one distinct-consecutive-products question in 1980 as the problem now catalogued as Erdos Problem 421.,"The proposed construction attains natural density one and, if correct, completely answers the stated existence question rather than merely improving the earlier positive-density bound.","The witness is an infinite density-one sequence, and the distinctness guarantee is uniform over all pairs of consecutive index intervals.","Selfridge's earlier construction reached only density above 1/e minus epsilon, and later independent heuristic, greedy, random-thinning, and conditional-construction attempts directly addressed the density-one target before the claimed proof.","The 1980 question was claimed solved in 2026, an elapsed 46 years or 4.6 decades, but provisional status prevents the Superhuman override.",medium
59,2026-07,2026-07-14,1,2,1,0,4,Difficult,2024,2026,0.2,0,"witten zeta leading residue. au's gamma-product-shape conjecture is proved uniformly for irreducible crystallographic root systems, with an explicit residue and representation-count asymptotic. proved +. the manuscript says codex gpt-5.6 generated all derivations, proofs, exposition, code, and publication materials; the author independently checked the mathematics and supplied symbolic checks. counted at the 14 july v1 date, not the 22 july revision.","For every irreducible crystallographic root system Phi, Au's normalized Witten zeta function has a simple pole at 2/h with the paper's closed gamma-product residue, proving Au's Conjecture 1.3.","Au precisely stated the gamma-product-shape conjecture for the leading residue in 2024, before the AI-generated proof.",The residue formula proves the conjecture for every irreducible crystallographic root system and therefore closes the full stated target.,The theorem is uniform over the general family of all irreducible crystallographic root systems and supplies a representation-count asymptotic for every simple type.,"Au's low-rank calculations and subsequent development motivate the conjecture, but the record does not document two independent pre-solution attacks on the exact universal residue formula or a qualifying controlled solve-rate experiment.","The 2024 conjecture was proved in 2026, an elapsed two years or 0.2 decades, below the one-decade override threshold.",medium
